Index,Type,Target/Station,Start Time,End Time,Duration (s),Priority
108,observation,Target_3,2026-02-16T20:36:00,2026-02-16T20:36:30,30.0,9.0
109,observation,Target_3,2026-02-16T22:10:00,2026-02-16T22:10:30,30.0,9.0
110,observation,Target_5,2026-02-16T23:03:00,2026-02-16T23:03:30,30.0,6.0
111,observation,Target_4,2026-02-16T23:21:00,2026-02-16T23:21:30,30.0,7.0
112,observation,Target_2,2026-02-17T01:25:00,2026-02-17T01:25:30,30.0,8.0
113,observation,Target_2,2026-02-17T03:00:00,2026-02-17T03:00:30,30.0,8.0
114,observation,Target_1,2026-02-17T04:37:00,2026-02-17T04:37:30,30.0,10.0
115,observation,Target_1,2026-02-17T06:12:00,2026-02-17T06:12:30,30.0,10.0
116,observation,Target_3,2026-02-17T07:24:00,2026-02-17T07:24:30,30.0,9.0
117,observation,Target_3,2026-02-17T08:59:00,2026-02-17T08:59:30,30.0,9.0
118,observation,Target_5,2026-02-17T09:43:00,2026-02-17T09:43:30,30.0,6.0
119,observation,Target_4,2026-02-17T11:00:00,2026-02-17T11:00:30,30.0,7.0
120,observation,Target_5,2026-02-17T11:18:00,2026-02-17T11:18:30,30.0,6.0
121,observation,Target_2,2026-02-17T12:10:00,2026-02-17T12:10:30,30.0,8.0
122,observation,Target_4,2026-02-17T12:34:00,2026-02-17T12:34:30,30.0,7.0
123,observation,Target_2,2026-02-17T13:42:00,2026-02-17T13:42:30,30.0,8.0
124,observation,Target_1,2026-02-17T15:21:00,2026-02-17T15:21:30,30.0,10.0
125,observation,Target_1,2026-02-17T16:52:00,2026-02-17T16:52:30,30.0,10.0
126,observation,Target_3,2026-02-17T20:28:00,2026-02-17T20:28:30,30.0,9.0
127,observation,Target_3,2026-02-17T22:03:00,2026-02-17T22:03:30,30.0,9.0
128,observation,Target_5,2026-02-17T22:55:00,2026-02-17T22:55:30,30.0,6.0
129,observation,Target_4,2026-02-17T23:14:00,2026-02-17T23:14:30,30.0,7.0
